Age[ka];Depth[mm];d18O[permil ‰]
73.71;413.75;-9.23
73.74;413.87;-9.15
73.76;413.99;-9.13
73.81;414.23;-9.14
73.83;414.35;-8.99
73.86;414.47;-9.01
73.88;414.59;-9.19
73.9;414.71;-8.93
73.93;414.83;-8.94
73.95;414.95;-9.01
73.98;415.07;-9.06
74,00;415.19;-8.81
74.03;415.31;-8.73
74.05;415.43;-8.55
74.07;415.55;-8.67
74.1;415.67;-8.57
74.12;415.79;-8.56
74.14;415.91;-8.47
74.15;416.03;-8.41
74.16;416.15;-8.38
74.18;416.27;-7.99
74.19;416.39;-8.34
74.21;416.51;-8.24
74.22;416.63;-8.34
74.23;416.75;-8.05
74.25;416.87;-8.05
74.26;416.99;-8.19
74.28;417.11;-8.21
74.29;417.23;-8.26
74.31;417.35;-8.23
74.32;417.47;-8.27
74.33;417.59;-8.39
74.35;417.71;-8.14
74.36;417.83;-8.33
74.38;417.95;-8.16
74.39;418.07;-8.44
74.4;418.19;-8.25
74.42;418.31;-7.92
74.43;418.43;-7.91
74.45;418.55;-7.87
74.46;418.67;-7.64
74.48;418.79;-7.54
74.49;418.91;-7.47
74.5;419.03;-7.43
74.52;419.15;-7.53
74.53;419.27;-7.51
74.55;419.39;-7.44
74.56;419.51;-7.69
74.58;419.63;-7.99
74.59;419.75;-7.78
74.6;419.87;-7.91
74.62;419.99;-7.66
74.63;420.11;-7.76
74.65;420.23;-7.91
74.66;420.35;-7.72
74.67;420.47;-7.98
74.69;420.59;-7.82
74.7;420.71;-8,00
74.72;420.83;-8.2
74.73;420.95;-7.86
74.75;421.07;-8.12
74.76;421.19;-7.48
74.77;421.31;-8.48
74.79;421.43;-7.46
74.8;421.55;-7.69
74.82;421.67;-7.7
74.83;421.79;-7.76
74.84;421.91;-8.02
74.86;422.03;-7.74
74.87;422.15;-8.24
74.89;422.27;-7.7
74.9;422.39;-7.86
74.92;422.51;-7.54
74.93;422.63;-7.52
74.94;422.75;-7.87
74.96;422.87;-7.68
74.97;422.99;-7.69
74.99;423.11;-7.9
75,00;423.23;-7.73
75.01;423.35;-7.68
75.03;423.47;-7.26
75.04;423.59;-8.74
75.06;423.71;-7.49
75.07;423.83;-7.8
75.09;423.95;-7.92
75.1;424.07;-7.48
75.11;424.19;-7.66
75.13;424.31;-7.47
75.14;424.43;-7.64
75.16;424.55;-7.62
75.17;424.67;-7.54
75.18;424.79;-7.32
75.2;424.91;-7.19
75.21;425.03;-7.43
75.23;425.15;-7.5
75.24;425.27;-7.11
75.26;425.39;-7.88
75.27;425.51;-7.04
75.28;425.63;-8.02
75.3;425.75;-7.02
75.31;425.87;-7.15
75.33;425.99;-7.23
75.34;426.11;-7,00
75.35;426.23;-7.11
75.37;426.35;-7.63
75.38;426.47;-7.28
75.4;426.59;-7.71
75.41;426.71;-7.99
75.43;426.83;-8.09
75.44;426.95;-7.79
75.45;427.07;-7.8
75.47;427.19;-7.79
75.48;427.31;-7.89
75.5;427.43;-8.77
75.51;427.55;-8.25
75.53;427.67;-8.08
75.55;427.79;-8.09
75.57;427.91;-8.27
75.59;428.03;-8.09
75.61;428.15;-8.2
75.63;428.27;-8.31
75.66;428.39;-7.97
75.68;428.51;-8.14
75.7;428.63;-8.29
75.72;428.75;-8.28
75.74;428.87;-8.4
75.77;428.99;-8.08
75.79;429.11;-8.04
75.81;429.23;-8.21
75.83;429.35;-8.1
75.85;429.47;-8.2
75.88;429.59;-8.08
75.9;429.71;-8.12
75.92;429.83;-8.53
75.94;429.95;-8.02
75.96;430.07;-8.06
75.98;430.19;-8.09
76.01;430.31;-8.1
76.03;430.43;-8.13
76.05;430.55;-8.64
76.07;430.67;-8.75
76.09;430.79;-8.67
76.12;430.91;-8.67
76.14;431.03;-8.67
76.16;431.15;-8.53
76.18;431.27;-8.59
76.2;431.39;-8.32
76.23;431.51;-8.16
76.25;431.63;-8.28
76.27;431.75;-8.37
76.29;431.87;-8.45
76.31;431.99;-8.42
76.34;432.11;-8.42
76.36;432.23;-8.42
76.38;432.35;-8.69
76.4;432.47;-8.62
76.42;432.59;-8.7
76.44;432.71;-8.76
76.47;432.83;-8.73
76.49;432.95;-8.57
76.51;433.07;-8.7
76.53;433.19;-8.7
76.55;433.31;-8.74
76.58;433.43;-8.76
76.6;433.55;-8.77
76.62;433.67;-8.76
76.64;433.79;-8.87
76.66;433.91;-8.61
76.69;434.03;-8.48
76.71;434.15;-8.56
76.73;434.27;-8.55
76.75;434.39;-8.18
76.77;434.51;-8.3
76.79;434.63;-8.33
76.82;434.75;-8.53
76.84;434.87;-8.45
76.86;434.99;-8.41
76.88;435.11;-8.37
76.9;435.23;-8.2
76.93;435.35;-7.96
76.95;435.47;-7.85
76.97;435.59;-7.34
76.99;435.71;-7.49
77.01;435.83;-7.19
77.04;435.95;-7.25
77.06;436.07;-7.22
77.08;436.19;-7.64
77.1;436.31;-7.4
77.12;436.43;-7.43
77.15;436.55;-7.42
77.17;436.67;-7.73
77.19;436.79;-7.49
77.21;436.91;-7.48
77.23;437.03;-7.93
77.25;437.15;-7.95
77.27;437.27;-7.85
77.29;437.39;-7.9
77.31;437.51;-8.01
77.33;437.63;-7.89
77.35;437.75;-7.9
77.37;437.87;-7.71
77.4;437.99;-7.98
77.42;438.11;-7.9
77.44;438.23;-7.97
77.46;438.35;-8.16
77.48;438.47;-8.1
77.5;438.59;-8.22
77.52;438.71;-8.04
77.54;438.83;-8.22
77.56;438.95;-8.23
77.58;439.07;-8.14
77.6;439.19;-8.19
77.62;439.31;-8.15
77.64;439.43;-8.43
77.67;439.55;-8.24
77.69;439.67;-8.08
77.71;439.79;-7.98
77.73;439.91;-8.28
77.75;440.03;-8.13
77.77;440.15;-7.8
77.79;440.27;-7.69
77.81;440.39;-7.9
77.83;440.51;-7.95
77.85;440.63;-8.11
77.87;440.75;-7.93
77.89;440.87;-7.87
77.92;440.99;-7.97
77.94;441.11;-7.9
77.96;441.23;-8.24
77.98;441.35;-8.34
78,00;441.47;-8.51
78.02;441.59;-8.45
78.04;441.71;-8.14
78.06;441.83;-8.28
78.08;441.95;-8.38
78.1;442.07;-8.07
78.12;442.19;-8.23
78.14;442.31;-8.06
78.17;442.43;-8.21
78.19;442.55;-8.45
78.21;442.67;-8.87
78.23;442.79;-8.83
78.25;442.91;-9.22
78.27;443.03;-9.14
78.29;443.15;-9.2
78.31;443.27;-9.11
78.33;443.39;-9.15
78.35;443.51;-8.36
78.37;443.63;-9.37
78.39;443.75;-8.68
78.42;443.87;-8.4
78.44;443.99;-8.45
78.46;444.11;-8.32
78.48;444.23;-8.38
78.5;444.35;-8.5
78.52;444.47;-8.49
78.54;444.59;-8.43
78.57;444.71;-8.43
78.59;444.83;-8.64
78.62;444.95;-8.46
78.64;445.07;-8.19
78.67;445.19;-8.45
78.69;445.31;-8.4
78.72;445.43;-8.55
78.74;445.55;-8.37
78.77;445.67;-8.45
78.79;445.79;-8.45
78.82;445.91;-8.62
78.84;446.03;-8.68
78.87;446.15;-8.57
78.89;446.27;-8.54
78.92;446.39;-8.56
78.94;446.51;-8.56
78.97;446.63;-8.44
78.99;446.75;-8.61
79.02;446.87;-8.29
79.04;446.99;-8.49
79.07;447.11;-8.07
79.09;447.23;-8.15
79.12;447.35;-8.25
79.14;447.47;-8.07
79.17;447.59;-7.94
79.19;447.71;-7.41
79.22;447.83;-7.71
79.24;447.95;-8.12
79.27;448.07;-8.18
79.29;448.19;-8.12
79.32;448.31;-8.24
79.34;448.43;-8.3
79.37;448.55;-8.35
79.39;448.67;-8.18
79.42;448.79;-8.37
79.44;448.91;-8.41
79.47;449.03;-8.22
79.49;449.15;-8.27
79.52;449.27;-8.09
79.54;449.39;-8.27
79.57;449.51;-8.25
79.59;449.63;-8.43
79.62;449.75;-8.07
79.64;449.87;-8.24
79.67;449.99;-8.21
79.67;450,00;-6.68
79.68;450.07;-6.62
79.69;450.11;-6.7
79.7;450.13;-6.74
79.71;450.2;-6.63
79.72;450.23;-6.47
79.72;450.27;-6.31
79.74;450.34;-6.45
79.74;450.35;-6.5
79.75;450.4;-6.71
79.77;450.47;-6.85
79.77;450.47;-6.85
79.78;450.54;-7.04
79.79;450.59;-6.85
79.79;450.6;-6.81
79.81;450.67;-6.95
79.82;450.71;-6.73
79.82;450.74;-6.51
79.84;450.81;-6.37
79.84;450.83;-6.41
79.85;450.87;-6.58
79.86;450.94;-7.05
79.87;450.95;-7.14
79.88;451.01;-7.68
79.89;451.07;-7.91
79.89;451.08;-7.93
79.91;451.14;-7.84
79.92;451.19;-7.68
79.92;451.21;-7.59
79.93;451.28;-7.4
79.94;451.31;-7.33
79.95;451.35;-7.31
79.96;451.41;-7.46
79.97;451.43;-7.42
79.98;451.48;-7.16
79.99;451.55;-7.15
79.99;451.55;-7.15
80,00;451.61;-7.22
80.02;451.67;-7.25
80.02;451.68;-7.27
80.03;451.75;-7.26
80.04;451.79;-7.21
80.05;451.82;-7.11
80.06;451.88;-6.76
80.07;451.91;-6.8
80.07;451.95;-6.92
80.09;452.02;-7.24
80.09;452.03;-7.26
80.1;452.08;-7.32
80.12;452.15;-7.34
80.12;452.15;-7.34
80.13;452.21;-7.39
80.14;452.27;-7.35
80.14;452.28;-7.34
80.16;452.34;-7.47
80.17;452.39;-7.4
80.17;452.41;-7.37
80.19;452.47;-7.35
80.19;452.51;-7.32
80.2;452.54;-7.33
80.21;452.6;-7.39
80.22;452.63;-7.42
80.23;452.67;-7.45
80.24;452.73;-7.36
80.25;452.75;-7.35
80.26;452.8;-7.28
80.27;452.86;-7.32
80.27;452.87;-7.31
80.28;452.93;-7.12
80.3;452.99;-6.9
80.3;453,00;-6.89
80.31;453.06;-7.1
80.32;453.11;-7.25
80.33;453.13;-7.28
80.34;453.19;-7.12
80.35;453.23;-7.17
80.35;453.26;-7.24
80.37;453.32;-7.26
80.37;453.35;-7.28
80.38;453.39;-7.28
80.4;453.45;-7.22
80.4;453.47;-7.28
80.41;453.52;-7.43
80.42;453.58;-7.91
80.43;453.59;-7.87
80.44;453.65;-7.29
80.45;453.71;-7.19
80.45;453.71;-7.19
80.47;453.78;-7.24
80.48;453.83;-7.23
80.48;453.84;-7.21
80.5;453.91;-7.17
80.5;453.95;-7.05
80.51;453.98;-6.99
80.52;454.04;-6.97
80.53;454.07;-6.94
80.54;454.11;-6.95
80.55;454.17;-7.12
80.56;454.19;-7.14
80.57;454.24;-7.14
80.58;454.3;-7.17
80.58;454.31;-7.15
80.59;454.37;-7.01
80.61;454.43;-7.03
80.61;454.43;-7.03
80.62;454.5;-7.09
80.63;454.55;-7.08
80.64;454.56;-7.07
80.65;454.63;-7.16
80.66;454.67;-7.28
80.66;454.69;-7.31
80.68;454.76;-7.17
80.68;454.79;-7.15
80.69;454.82;-7.18
80.71;454.89;-7.32
80.71;454.91;-7.28
80.72;454.96;-7.16
80.73;455.02;-7.18
80.74;455.03;-7.2
80.75;455.09;-7.31
80.76;455.15;-7.15
80.76;455.15;-7.15
80.78;455.22;-7.12
80.79;455.27;-7.06
80.79;455.28;-7.03
80.8;455.35;-7.06
80.81;455.39;-7.04
80.84;455.51;-7.06
80.85;455.54;-7.04
80.86;455.61;-7,00
80.86;455.63;-6.93
80.87;455.67;-6.8
80.89;455.74;-6.74
80.89;455.75;-6.72
80.9;455.8;-6.84
80.92;455.87;-7.16
80.92;455.87;-7.16
80.93;455.93;-7.01
80.94;455.99;-6.85
80.94;456,00;-6.84
80.96;456.07;-6.91
80.97;456.11;-6.73
80.97;456.13;-6.66
80.99;456.2;-6.61
80.99;456.23;-6.58
81,00;456.26;-6.56
81.01;456.33;-6.64
81.02;456.35;-6.6
81.03;456.39;-6.5
81.04;456.46;-6.38
81.04;456.47;-6.38
81.06;456.52;-6.4
81.07;456.59;-6.32
81.07;456.59;-6.32
81.08;456.65;-6.33
81.1;456.71;-6.29
81.1;456.72;-6.29
81.11;456.78;-6.37
81.12;456.83;-6.39
81.13;456.85;-6.4
81.14;456.91;-6.42
81.15;456.95;-6.49
81.15;456.98;-6.53
81.17;457.05;-6.49
81.17;457.07;-6.48
81.18;457.11;-6.52
81.2;457.18;-6.71
81.2;457.19;-6.75
81.21;457.24;-6.83
81.22;457.31;-6.44
81.23;457.31;-6.43
81.25;457.43;-6.42
81.25;457.44;-6.43
81.27;457.5;-6.57
81.28;457.55;-6.46
81.28;457.57;-6.42
81.29;457.63;-6.57
81.3;457.67;-6.57
81.31;457.7;-6.54
81.32;457.76;-6.43
81.33;457.79;-6.4
81.34;457.83;-6.42
81.35;457.89;-6.25
81.35;457.91;-6.29
81.36;457.96;-6.4
81.38;458.03;-6.29
81.38;458.03;-6.28
81.39;458.09;-6.21
81.41;458.15;-6.25
81.41;458.16;-6.26
81.42;458.22;-6.37
81.43;458.27;-6.42
81.44;458.29;-6.37
81.45;458.35;-6.12
81.46;458.39;-6.09
81.46;458.42;-6.15
81.48;458.48;-6.19
81.48;458.51;-6.15
81.49;458.55;-6.11
81.51;458.61;-6.2
81.51;458.63;-6.23
81.52;458.68;-6.38
81.53;458.74;-6.28
81.53;458.75;-6.27
81.55;458.81;-6.18
81.56;458.87;-6,00
81.56;458.87;-5.99
81.58;458.94;-6.19
81.59;458.99;-6.24
81.59;459,00;-6.25
81.6;459.07;-6.21
81.61;459.11;-6.21
81.62;459.14;-6.19
81.63;459.2;-6.17
81.64;459.23;-6.16
81.65;459.27;-6.13
81.66;459.33;-6.14
81.66;459.35;-6.09
81.67;459.4;-6.04
81.69;459.46;-6.15
81.69;459.47;-6.16
81.7;459.53;-6.15
81.72;459.59;-6.08
81.72;459.59;-6.08
81.73;459.66;-6.04
81.74;459.71;-6.03
81.74;459.72;-6.03
81.76;459.79;-6.08
81.77;459.83;-6.09
81.77;459.85;-6.08
81.79;459.92;-6.12
81.79;459.95;-6.14
81.8;459.98;-6.14
81.81;460.05;-6.1
81.82;460.07;-6.07
81.83;460.12;-6.04
81.84;460.18;-6.04
81.84;460.19;-6.04
81.86;460.25;-5.99
81.87;460.31;-5.98
81.87;460.31;-5.99
81.88;460.38;-6.31
81.9;460.43;-5.85
81.9;460.44;-5.76
81.91;460.51;-5.78
81.92;460.55;-5.75
81.93;460.57;-5.73
81.94;460.64;-5.58
81.95;460.67;-5.59
81.95;460.7;-5.63
81.97;460.77;-5.52
81.97;460.79;-5.58
81.98;460.83;-5.71
82,00;460.9;-5.75
82,00;460.91;-5.75
82.01;460.96;-5.71
82.02;461.03;-5.58
82.02;461.03;-5.58
82.04;461.1;-5.7
82.05;461.15;-5.77
82.05;461.16;-5.74
82.07;461.23;-5.72
82.08;461.27;-5.61
82.08;461.29;-5.59
82.09;461.36;-5.53
82.1;461.39;-5.51
82.11;461.42;-5.42
82.12;461.49;-5.38
82.13;461.51;-5.31
82.14;461.55;-5.34
82.15;461.62;-5.4
82.15;461.63;-5.44
82.16;461.68;-5.61
82.18;461.75;-5.62
82.18;461.75;-5.62
82.2;461.87;-5.45
82.21;461.91;-5.45
82.23;461.99;-5.57
82.25;462.07;-5.66
82.26;462.11;-5.65
82.28;462.23;-5.59
82.28;462.24;-5.59
82.31;462.35;-5.46
82.32;462.4;-5.41
82.33;462.47;-5.44
82.35;462.56;-5.45
82.36;462.59;-5.45
82.39;462.71;-5.46
82.39;462.73;-5.46
82.41;462.83;-5.36
82.42;462.89;-5.23
82.44;462.95;-5.13
82.46;463.05;-5.1
82.46;463.07;-5.11
82.49;463.19;-5.2
82.49;463.22;-5.23
82.51;463.31;-5.31
82.53;463.38;-5.39
82.54;463.43;-5.35
82.56;463.54;-5.26
82.57;463.55;-5.26
82.59;463.67;-5.3
82.6;463.71;-5.32
82.62;463.79;-5.3
82.63;463.87;-5.27
82.64;463.91;-5.26
82.67;464.03;-5.15
82.67;464.03;-5.15
82.69;464.15;-5.1
82.7;464.2;-5.09
82.72;464.27;-5.1
82.74;464.36;-5.09
82.75;464.39;-5.11
82.77;464.51;-5.27
82.77;464.52;-5.28
82.8;464.63;-5.23
82.81;464.69;-5.22
82.82;464.75;-5.27
82.85;464.87;-5.3
82.87;464.99;-5.34
82.88;465.01;-5.35
82.9;465.11;-5.28
82.92;465.18;-5.19
82.93;465.23;-5.18
82.95;465.34;-5.21
82.95;465.35;-5.22
82.98;465.47;-5.25
82.99;465.5;-5.28
83,00;465.59;-5.3
83.02;465.67;-5.46
83.03;465.71;-5.58
83.06;465.83;-5.75
83.06;465.83;-5.75
83.08;465.95;-5.45
83.09;465.99;-5.63
83.11;466.07;-5.86
83.13;466.16;-5.78
83.13;466.19;-5.76
83.16;466.31;-5.69
83.16;466.32;-5.69
83.18;466.43;-5.79
83.2;466.48;-5.89
83.21;466.55;-5.84
83.23;466.65;-5.68
83.24;466.67;-5.71
83.26;466.79;-5.83
83.27;466.81;-5.85
83.29;466.91;-5.72
83.3;466.97;-5.68
83.31;467.03;-5.71
83.34;467.14;-5.69
83.34;467.15;-5.7
83.36;467.27;-5.78
83.37;467.3;-5.83
83.39;467.39;-5.87
83.41;467.46;-5.79
83.42;467.51;-5.82
83.44;467.63;-5.95
83.44;467.63;-5.95
83.48;467.66;-5.81
83.51;467.69;-5.71
83.55;467.73;-5.74
83.57;467.75;-5.82
83.58;467.76;-5.83
83.62;467.79;-5.73
83.65;467.82;-5.52
83.69;467.85;-5.49
83.71;467.87;-5.48
83.72;467.89;-5.5
83.76;467.92;-5.63
83.79;467.95;-5.64
83.82;467.97;-5.54
83.84;467.99;-5.52
83.84;467.99;-5.51
83.85;468.01;-5.38
83.87;468.02;-5.49
83.89;468.04;-5.62
83.91;468.06;-5.71
83.93;468.07;-5.7
83.95;468.09;-5.59
83.97;468.11;-5.75
83.97;468.11;-5.76
83.98;468.12;-5.8
84,00;468.14;-5.45
84.02;468.16;-5.58
84.04;468.17;-5.47
84.06;468.19;-5.51
84.08;468.21;-5.48
84.09;468.22;-5.58
84.1;468.23;-5.52
84.11;468.24;-5.42
84.13;468.26;-5.47
84.15;468.28;-5.51
84.17;468.29;-5.51
84.19;468.31;-5.55
84.21;468.33;-5.54
84.22;468.34;-5.67
84.23;468.35;-5.7
84.24;468.36;-5.72
84.26;468.38;-5.68
84.28;468.39;-5.59
84.3;468.41;-5.64
84.32;468.43;-5.48
84.33;468.44;-5.47
84.35;468.46;-5.55
84.37;468.48;-5.46
84.39;468.49;-5.4
84.4;468.51;-5.41
84.42;468.52;-5.35
84.44;468.54;-5.46
84.45;468.55;-5.26
84.47;468.57;-5.36
84.49;468.58;-5.64
84.5;468.6;-5.61
84.52;468.61;-5.77
84.54;468.63;-5.83
84.55;468.64;-5.62
84.57;468.66;-5.6
84.59;468.67;-5.24
84.6;468.69;-5.4
84.62;468.7;-5.57
84.64;468.72;-5.57
84.65;468.73;-5.67
84.67;468.75;-5.69
84.67;468.75;-5.69
84.68;468.76;-5.67
84.7;468.78;-5.88
84.72;468.79;-5.81
84.73;468.81;-5.94
84.75;468.82;-5.93
84.77;468.84;-5.9
84.78;468.85;-5.8
84.8;468.87;-5.78
84.82;468.88;-5.87
84.83;468.9;-5.83
84.85;468.91;-5.96
84.87;468.93;-5.85
84.88;468.94;-5.84
84.9;468.96;-5.7
84.92;468.97;-5.78
84.93;468.99;-5.69
84.95;469,00;-5.78
84.97;469.02;-5.74
84.98;469.03;-5.54
85,00;469.05;-5.69
85.02;469.06;-5.89
85.03;469.08;-5.94
85.05;469.09;-5.87
85.07;469.11;-5.9
85.08;469.12;-5.83
85.1;469.14;-5.88
85.11;469.15;-5.95
85.12;469.15;-5.99
85.13;469.17;-6.06
85.15;469.19;-5.96
85.17;469.2;-6.02
85.18;469.22;-6.23
85.2;469.23;-6.44
85.21;469.25;-6.15
85.23;469.26;-6.43
85.25;469.28;-6.43
85.26;469.29;-6.45
85.28;469.31;-6.45
85.3;469.32;-6.49
85.31;469.34;-6.48
85.33;469.35;-6.41
85.35;469.37;-6.47
85.36;469.38;-6.46
85.38;469.4;-6.63
85.4;469.41;-6.64
85.41;469.43;-6.49
85.43;469.44;-6.58
85.45;469.46;-6.79
85.46;469.47;-6.73
85.48;469.49;-6.9
85.5;469.5;-6.88
85.51;469.52;-6.84
85.53;469.53;-6.79
85.55;469.55;-6.78
85.56;469.56;-6.77
85.58;469.58;-6.71
85.6;469.59;-6.75
85.61;469.61;-6.72
85.63;469.62;-6.6
85.65;469.64;-6.54
85.66;469.65;-6.62
85.68;469.67;-6.55
85.69;469.68;-6.73
85.71;469.7;-6.71
85.73;469.71;-6.82
85.74;469.73;-6.68
85.76;469.74;-6.69
85.78;469.76;-6.55
85.79;469.77;-6.57
85.81;469.79;-6.61
85.83;469.8;-6.54
85.84;469.82;-6.53
85.86;469.83;-6.5
85.88;469.85;-6.52
85.89;469.86;-6.59
85.91;469.88;-6.54
85.93;469.89;-6.49
85.94;469.91;-6.49
85.96;469.92;-6.53
85.97;469.94;-6.03
85.99;469.95;-6.06
85.99;469.95;-6.06
86.01;469.97;-5.91
86.02;469.98;-5.95
86.04;470,00;-6.08
86.06;470.01;-6.08
86.07;470.03;-5.99
86.09;470.04;-5.95
86.11;470.06;-5.86
86.12;470.07;-5.89
86.14;470.09;-5.87
86.15;470.1;-5.84
86.17;470.12;-5.75
86.19;470.13;-5.68
86.2;470.15;-5.66
86.22;470.16;-5.69
86.24;470.18;-5.62
86.25;470.19;-5.67
86.27;470.21;-5.71
86.28;470.22;-5.56
86.3;470.24;-5.69
86.32;470.25;-5.58
86.33;470.27;-5.6
86.35;470.28;-5.53
86.37;470.29;-5.5
86.38;470.31;-5.52
86.4;470.32;-5.39
86.42;470.34;-5.31
86.43;470.35;-5.31
86.43;470.35;-5.31
86.45;470.37;-5.32
86.46;470.38;-5.28
86.48;470.4;-5.31
86.5;470.41;-5.31
86.51;470.43;-5.41
86.53;470.44;-5.34
86.55;470.46;-5.2
86.56;470.47;-5.31
86.58;470.49;-5.41
86.59;470.5;-5.27
86.6;470.51;-5.39
86.61;470.52;-5.46
86.62;470.53;-5.49
86.64;470.54;-5.4
86.65;470.55;-5.38
86.66;470.56;-5.41
86.67;470.57;-5.29
86.68;470.58;-5.27
86.69;470.59;-5.24
86.71;470.6;-5.43
86.72;470.62;-5.18
86.73;470.63;-5.2
86.74;470.64;-5.37
86.75;470.65;-5.26
86.77;470.66;-5.23
86.78;470.67;-5.3
86.79;470.68;-5.42
86.8;470.69;-5.33
86.81;470.7;-5.4
86.84;470.72;-5.35
86.85;470.74;-5.3
86.86;470.75;-5.24
86.87;470.75;-5.28
86.87;470.76;-5.35
86.89;470.77;-5.43
86.9;470.78;-5.37
86.91;470.79;-5.24
86.92;470.8;-5.46
86.93;470.81;-5.41
86.95;470.82;-5.26
86.96;470.84;-5.3
86.98;470.85;-5.39
87,00;470.87;-5.37
87.01;470.88;-5.4
87.03;470.9;-5.4
87.05;470.91;-5.44
87.06;470.93;-5.5
87.08;470.95;-5.23
87.1;470.96;-5.29
87.11;470.98;-5.2
87.13;470.99;-5.21
87.15;471.01;-5.21
87.16;471.02;-5.17
87.18;471.04;-5.17
87.2;471.05;-5.29
87.21;471.07;-5.36
87.23;471.08;-5.15
87.25;471.1;-5.34
87.26;471.11;-5.29
87.28;471.13;-5.5
87.29;471.14;-5.6
87.3;471.15;-5.51
87.31;471.16;-5.45
87.33;471.17;-5.61
87.34;471.19;-5.69
87.36;471.2;-5.78
87.38;471.22;-5.6
87.39;471.23;-5.5
87.41;471.25;-5.49
87.43;471.26;-5.74
87.44;471.28;-5.83
87.46;471.29;-5.74
87.48;471.31;-5.6
87.49;471.32;-5.42
87.51;471.34;-5.26
87.53;471.35;-5.34
87.54;471.37;-5.43
87.56;471.38;-5.33
87.58;471.4;-5.27
87.59;471.41;-5.3
87.61;471.43;-5.4
87.63;471.44;-5.45
87.64;471.46;-5.59
87.66;471.47;-5.63
87.67;471.49;-5.74
87.69;471.5;-5.89
87.71;471.52;-5.67
87.72;471.53;-5.87
87.74;471.55;-5.78
87.74;471.55;-5.78
87.76;471.56;-5.78
87.77;471.58;-5.93
87.79;471.59;-5.96
87.81;471.61;-5.97
87.82;471.62;-5.92
87.84;471.64;-6.01
87.86;471.65;-5.88
87.87;471.67;-5.94
87.89;471.68;-5.93
87.91;471.7;-5.99
87.92;471.71;-5.42
87.94;471.73;-5.52
87.96;471.74;-5.51
87.97;471.76;-5.51
87.99;471.77;-5.59
88.01;471.79;-5.66
88.02;471.8;-5.52
88.04;471.82;-5.57
88.05;471.83;-5.59
88.07;471.85;-5.59
88.09;471.86;-5.76
88.1;471.88;-5.58
88.12;471.89;-5.69
88.14;471.91;-5.74
88.15;471.92;-5.68
88.17;471.94;-5.68
88.18;471.95;-5.69
88.19;471.95;-5.69
88.2;471.97;-5.56
88.22;471.98;-5.73
88.24;472,00;-5.68
88.25;472.01;-5.75
88.27;472.03;-5.76
88.29;472.04;-5.88
88.3;472.06;-5.81
88.32;472.07;-6,00
88.34;472.09;-6.04
88.35;472.1;-6.13
88.37;472.12;-6.07
88.39;472.14;-6.16
88.4;472.15;-6.09
88.44;472.18;-6.27
88.45;472.2;-6.09
88.47;472.21;-6.05
88.48;472.23;-5.98
88.5;472.24;-6,00
88.52;472.26;-5.88
88.53;472.27;-5.72
88.55;472.29;-5.6
88.57;472.3;-5.64
88.58;472.32;-5.52
88.6;472.33;-5.55
88.62;472.35;-5.53
88.62;472.35;-5.48
88.63;472.36;-5.37
88.65;472.38;-5.49
88.67;472.39;-5.51
88.68;472.41;-5.73
88.7;472.42;-5.97
88.72;472.44;-5.89
88.73;472.45;-6.13
88.75;472.47;-6.31
88.77;472.48;-6.19
88.78;472.5;-5.77
88.8;472.51;-5.96
88.82;472.53;-6.02
88.83;472.54;-6.39
88.85;472.56;-6.34
88.86;472.57;-5.88
88.88;472.59;-5.81
88.9;472.6;-5.8
88.91;472.62;-6.33
88.93;472.63;-6.25
88.95;472.65;-6.22
88.96;472.66;-6.1
88.98;472.68;-6.16
89,00;472.69;-6.21
89.01;472.71;-6.22
89.03;472.72;-6.13
89.05;472.74;-6.16
89.06;472.75;-6.14
89.06;472.75;-6.13
89.08;472.77;-6.14
89.1;472.78;-6,00
89.11;472.8;-5.95
89.13;472.81;-6.03
89.15;472.83;-6.11
89.16;472.84;-6.25
89.18;472.86;-6.42
89.2;472.87;-6.28
89.21;472.89;-6.25
89.23;472.9;-6.83
89.25;472.92;-6.4
89.26;472.93;-6.37
89.28;472.95;-6.42
89.29;472.96;-6.48
89.31;472.98;-6.09
89.33;472.99;-6.18
89.34;473.01;-6.2
89.36;473.02;-6.2
89.38;473.04;-6.15
89.39;473.05;-6.21
89.41;473.07;-6.36
89.43;473.08;-6.35
89.44;473.1;-6.39
89.46;473.11;-6.43
89.48;473.13;-6.49
89.49;473.14;-6.41
89.5;473.15;-6.4
89.51;473.16;-6.36
89.53;473.17;-6.33
89.54;473.19;-6.34
89.56;473.2;-6.46
89.58;473.22;-6.45
89.59;473.23;-6.49
89.61;473.25;-6.51
89.63;473.26;-6.5
89.64;473.28;-6.58
89.66;473.29;-6.43
89.67;473.31;-6.67
89.69;473.33;-6.65
89.71;473.34;-6.73
89.72;473.36;-6.51
89.74;473.37;-6.51
89.76;473.39;-6.44
89.77;473.4;-6.63
89.79;473.42;-6.52
89.81;473.43;-6.6
89.83;473.45;-6.54
89.86;473.48;-6.78
89.88;473.5;-6.63
89.9;473.52;-6.6
89.92;473.54;-6.68
89.94;473.55;-6.56
89.95;473.56;-6.47
89.97;473.58;-6.57
89.99;473.6;-6.59
90.02;473.62;-6.54
90.04;473.64;-6.55
90.06;473.66;-6.55
90.08;473.68;-6.48
90.11;473.7;-6.55
90.13;473.72;-6.58
90.15;473.75;-6.63
90.17;473.77;-6.65
90.2;473.79;-6.7
90.22;473.81;-6.71
90.24;473.83;-6.67
